track_id,frame_start,frame_end,num_frames,apex_height_meters,total_distance_meters,duration_seconds,avg_speed_kmh,max_speed_kmh,avg_speed_mps,max_speed_mps,start_x,start_y,end_x,end_y,start_zone,end_zone,court_side,displacement_x,displacement_y,displacement_angle_deg,horizontal_direction,vertical_direction,poly_coef_a,poly_coef_b,poly_coef_c,trajectory_r2,num_bounces,crosses_net,in_service_box,net_clearance_pixels,shot_type,height_class,direction,stroke,spin,confidence,type_label,direction_label,stroke_label
8,49,61,13,3.4432826770529976,4.3037349522883845,0.200201593625498,45.694373640252444,123.0058576600186,12.692881566736789,34.16829379444961,772.0738673618861,137.41334708077562,792.796523206041,208.58039900438902,back_center,back_center,center,20.72265584415493,71.1670519236134,73.76532307921475,straight,unknown,0.00031084793476357774,2.950767842206738,-2326.120569178961,0.9998956836762215,5,False,False,191.41960099561098,topspin_groundstroke,high,straight,forehand,flat,0.6337959720703628,topspin_groundstroke,straight,forehand
3,25,100,76,11.792140251485323,27.72378016044332,1.2512599601593626,79.22544629663021,131.131040609189,22.007068415730615,36.425289058108056,945.2828796386713,349.7283700125558,727.6716723178059,397.57296771103347,back_center,mid_center,center,-217.61120732086533,47.844597698477685,167.60008268965748,cross_court_left,unknown,0.006500811894201576,-10.074089696111297,4136.316650601234,0.3043497505851587,4,False,True,2.4270322889665294,lob,very_high,cross_court_left,backhand,slice,0.8533163063685825,lob,cross_court_left,backhand
13,103,151,49,14.616145383203428,27.911159130655548,0.800806374501992,123.26524605761809,252.0,34.24034612711613,70.0,725.6627851213724,453.8525177001951,863.2001666657111,371.16831101976425,mid_center,mid_center,center,137.5373815443387,-82.68420668043086,-31.013285166536487,straight,unknown,0.004920769402939068,-9.061829831320397,4560.41314523963,0.7455355207058646,4,True,True,28.831688980235754,lob,very_high,straight,backhand,slice,0.8309718607189425,lob,straight,backhand
17,156,193,38,6.450072439437429,9.636730720576063,0.6172882470119522,56.07795974436803,79.37951657185104,15.577211040102231,22.049865714403065,884.1208164760039,357.91626499720985,1001.6150589438699,215.36966408564265,back_center,back_center,center,117.494242467866,-142.5466009115672,-50.502897641508646,straight,short,-0.007455531575653055,13.293132818251916,-5586.769613808611,0.8007929605369246,2,False,False,184.63033591435735,lob,very_high,down_the_line_short,forehand,topspin,0.7808520005991983,lob,down_the_line_short,forehand
23,195,247,53,10.299607337290803,15.930995308954747,0.8675402390438247,65.6459985026195,124.71068039842856,18.234999584060972,34.64185566623016,1004.5730398995528,213.30893162318634,838.4190436688326,401.9439919190541,back_center,mid_center,center,-166.15399623072017,188.63506029586776,131.3743235327562,straight,deep,0.010336758889591097,-20.410193204173748,10255.669241607173,0.9847033964522831,3,True,False,1.943991919054099,lob,very_high,down_the_line_deep,backhand,slice,0.8618066299660294,lob,down_the_line_deep,backhand
28,250,294,45,14.4700162091699,30.813829371772226,0.7340725099601594,147.14555661611618,252.0,40.873765726698934,70.0,822.3218523297985,461.55983232770626,767.9830250403329,363.7453294758709,mid_center,mid_center,center,-54.3388272894656,-97.81450285183536,-119.05345678291654,straight,unknown,0.002100070880213396,-4.1129232183589695,2473.674321732313,0.22008696583046783,5,True,False,36.2546705241291,lob,very_high,straight,backhand,slice,0.8420830675442565,lob,straight,backhand
29,299,336,38,7.3053212276418815,8.589345963631056,0.6172882470119522,50.22078722973058,89.59942123336603,13.950218674925162,24.88872812037945,775.2625845772876,355.90751299176895,823.8621917535866,194.45991386088338,back_center,back_center,center,48.599607176298946,-161.44759913088558,-73.24694279586491,straight,short,-0.09817434588998875,154.53192470860728,-60466.89205152958,0.8853815956210191,4,False,False,205.54008613911662,lob,very_high,down_the_line_short,forehand,topspin,0.7763644385013508,lob,down_the_line_short,forehand
31,325,336,12,3.438144779718158,3.4436811062221424,0.18351812749003985,67.17319820226072,69.6987924642205,18.6592217228502,19.360775684505693,817.4294539190489,278.90932881951835,821.2660396526866,202.92632918774706,back_center,back_center,center,3.836585733637662,-75.98299963177129,-87.1094370418252,straight,unknown,-1.7716890405574757,2883.8804898307685,-1173266.61706752,0.9800049825451659,0,False,False,197.07367081225294,topspin_groundstroke,high,straight,forehand,topspin,0.73154652659698,topspin_groundstroke,straight,forehand
34,370,382,13,1.4080857830874747,9.513541173768834,0.200201593625498,128.19810164267741,209.8168897928223,35.610583789632614,58.28246938689509,841.5547748731755,120.28261974267745,768.6887090974319,137.51852239047392,back_center,back_center,center,-72.86606577574355,17.235902647796465,166.69173810975641,straight,unknown,1.8924241353487526e-05,-0.2675668786378722,332.0539046080147,0.9999882992649771,4,False,False,262.4814776095261,drop_shot,very_low,straight,backhand,flat,0.6324509178504139,drop_shot,straight,backhand
32,362,393,32,10.337512741865371,16.75879219711347,0.5171874501992032,116.11571317754655,147.93596082360267,32.25436477154071,41.09332245100074,919.8110334123879,161.18637738909035,1202.6503235718637,389.64540898431505,back_center,mid_center,center,282.8392901594758,228.4590315952247,38.92900400270993,cross_court_right,deep,0.0018582564796894479,-3.1120727158707115,1448.8029911777667,0.9995275866127701,0,False,True,10.354591015684946,lob,very_high,cross_court_right_deep,forehand,slice,0.8334269309034128,lob,cross_court_right_deep,forehand
39,397,439,43,9.826491826369177,25.1680654130973,0.700705577689243,125.90081535548384,196.6609737563631,34.97244870985662,54.62804826565641,1245.9417480468746,460.5888702392574,1680.6767237262636,677.7543396020162,mid_center,mid_right,center,434.734975679389,217.1654693627588,26.543747241355057,cross_court_right,deep,-0.0007928582122464017,2.6113131621602044,-1504.2100728403052,0.6652005794029989,2,False,False,277.7543396020162,lob,very_high,cross_court_right_deep,forehand,flat,0.8829735682547561,lob,cross_court_right_deep,forehand
45,438,446,9,8.268920028479544,16.092055620043965,0.13346772908366533,252.0,252.0,70.0,70.0,1482.6940202985486,555.3763706752229,1177.6253065603532,372.633238045825,mid_right,mid_center,right,-305.06871373819536,-182.7431326293979,-149.07742749636384,cross_court_left,short,3.6366232035285256e-05,0.4998999898267135,-266.29263287290786,0.99995517949699,0,True,True,27.36676195417499,lob,very_high,cross_court_left_short,forehand,flat,0.684361137362012,lob,cross_court_left_short,forehand
48,449,464,16,4.828080629871559,13.19959027336691,0.2502519920318725,189.12189031772948,229.02989813381535,52.53385842159152,63.61941614828204,1121.7973964146197,350.06048148018954,850.6357373926757,243.35989956002808,back_center,back_center,center,-271.16165902194405,-106.70058192016145,-158.52064239283592,cross_court_left,unknown,0.00016658378274962444,0.0659297204617854,66.85086717647962,0.9995490150999459,0,False,False,156.64010043997192,lob,very_high,cross_court_left,backhand,flat,0.7475724757531076,lob,cross_court_left,backhand
53,469,511,43,5.508802351837288,10.315230446565542,0.700705577689243,51.798330367212905,105.30178229246967,14.388425102003584,29.250495081241574,819.1403938775734,259.21110683917686,695.0862851642083,145.9080539531765,back_center,back_center,center,-124.05410871336505,-113.30305288600036,-137.59343083663433,straight,short,-0.013144767416886971,20.472248114551792,-7700.653780120653,0.8548962590490891,3,False,False,254.0919460468235,lob,very_high,down_the_line_short,backhand,topspin,0.8415810639890677,lob,down_the_line_short,backhand
67,528,543,16,7.315707478506179,7.414916665791708,0.2502519920318725,105.57824653773342,115.96230121186387,29.32729070492595,32.21175033662885,715.8847647530688,236.39066641671317,740.9168172476676,398.06780169169974,back_center,mid_center,center,25.032052494598815,161.67713527498657,81.19892381031048,straight,deep,0.06835670858690442,-92.76382315891024,31606.28269061177,0.9958570145421213,0,False,True,1.9321983083002578,lob,very_high,down_the_line_deep,backhand,slice,0.7467410795352556,lob,down_the_line_deep,backhand
71,546,588,43,12.49817000598312,25.55358038966862,0.700705577689243,125.32087925170717,252.0,34.811355347696434,70.0,748.6157427106581,453.55808410644516,969.4518438640189,392.9050651473486,mid_center,mid_center,center,220.8361011533608,-60.653018959096585,-15.357698567185778,cross_court_right,unknown,-0.012173911077051397,19.86599584888105,-7485.712759748102,0.6441474737501387,5,True,True,7.09493485265142,lob,very_high,cross_court_right,backhand,topspin,0.835544797811264,lob,cross_court_right,backhand
69,536,601,66,2.5960542826903303,9.25102957150786,1.084425298804781,8.172608309195939,18.393103351898944,2.2701689747766496,5.109195375527484,884.9978472028455,486.8634272984094,895.9176529600775,482.97265774813945,mid_center,mid_center,center,10.919805757231984,-3.8907695502699653,-19.611182466629916,straight,unknown,-0.012304204431195075,21.39623158634433,-8809.420388789204,0.6336283426358738,23,False,False,82.97265774813945,down_the_line_groundstroke,medium,straight,forehand,topspin,0.7921825198457223,down_the_line_groundstroke,straight,forehand
75,596,652,57,8.44936705331466,13.218930389597332,0.9342741035856573,50.072119464833584,101.7985919646791,13.908922073564884,28.277386656855306,1019.8131696428569,355.81348571777335,1121.3410545576025,169.08247383951937,back_center,back_center,center,101.52788491474564,-186.73101187825398,-61.46654549399955,straight,short,-0.011786462381532385,24.165055876566853,-12032.72219229006,0.8890246715386265,6,False,False,230.91752616048063,lob,very_high,down_the_line_short,forehand,topspin,0.8556697778071316,lob,down_the_line_short,forehand
87,657,689,33,10.214106331942894,14.702669917059266,0.5338709163346613,98.18068143782375,127.6160701511195,27.272411510506597,35.44890837531097,1086.9750052315844,176.24794791085367,860.9638332710407,401.9796978467916,back_center,mid_center,center,-226.01117196054372,225.73174993593796,135.0354398484075,cross_court_left,deep,0.0027826677089507344,-6.4408432626004695,3888.767131271945,0.9995351996485952,0,True,False,1.9796978467916233,lob,very_high,cross_court_left_deep,backhand,slice,0.8354813501445308,lob,cross_court_left_deep,backhand
92,681,707,27,12.379408754294733,18.86586680742998,0.43377011952191236,138.43594791066928,217.5315960814523,38.45442997518591,60.425443355958976,915.8966116768971,486.8320011683871,695.7088168410677,740.2945344771634,mid_center,front_center,center,-220.18779483582944,253.46253330877636,130.9814765585593,cross_court_left,deep,0.008949228710183518,-15.661722507481395,7321.228187675141,0.9887865588966883,5,False,False,340.29453447716344,lob,very_high,cross_court_left_deep,backhand,slice,0.744444305701234,lob,cross_court_left_deep,backhand
98,716,728,13,1.2670769648741806,4.706330442099778,0.200201593625498,83.70703083644061,85.42771020653798,23.251953010122392,23.729919501816106,633.9274980817519,669.9489624023431,534.1774953142505,697.9513633260625,mid_left,mid_left,center,-99.75000276750143,28.002400923719392,164.31919794922987,straight,unknown,0.0010213344247628796,-1.4928592658960447,1204.6593473906726,0.994205738671381,0,False,False,297.9513633260625,drop_shot,very_low,straight,backhand,slice,0.7509828832541354,drop_shot,straight,backhand
100,728,739,12,9.175592778572822,14.511184566853709,0.18351812749003985,252.0,252.0,70.0,70.0,682.5205644880019,582.0151881626673,930.8682275864824,379.23458775620793,mid_center,mid_center,center,248.34766309848044,-202.78060040645937,-39.232293245907606,cross_court_right,short,0.00015538226501245607,-1.0630095298130215,1234.6752624965536,0.9998562934150645,0,True,True,20.76541224379207,lob,very_high,cross_court_right_short,backhand,flat,0.7656932188103904,lob,cross_court_right_short,backhand
101,745,801,57,7.941140784551498,17.287813230159337,0.9342741035856573,66.51326780918225,116.31469547702167,18.475907724772846,32.30963763250602,992.2853070940284,358.29279392787373,1206.272095402547,189.03900436583493,back_center,back_center,center,213.9867883085185,-169.2537895620388,-38.34238936017083,cross_court_right,short,-0.003614533757376143,7.363083452517806,-3399.604771630652,0.9548032945349466,4,False,False,210.96099563416507,lob,very_high,cross_court_right_short,forehand,topspin,0.8566211131897306,lob,cross_court_right_short,forehand
110,807,842,36,7.837196834675382,15.39207544981817,0.5839213147410358,95.03034562134127,111.80057299455554,26.39731822815035,31.055714720709872,1156.4179582868296,208.2688620431082,866.3456249492212,381.47091208943414,back_center,mid_center,center,-290.07233333760837,173.20205004632595,149.15859503098224,cross_court_left,deep,0.000796743286427744,-2.2221621467705237,1710.253972427023,0.9997843271312202,0,False,True,18.529087910565863,lob,very_high,cross_court_left_deep,forehand,flat,0.8471385547334322,lob,cross_court_left_deep,forehand
117,849,880,32,7.426096365782699,16.931242538339355,0.5171874501992032,117.23500341231423,160.57904679160046,32.56527872564284,44.60529077544457,796.0468244280133,448.2534432547433,484.1925908995966,612.3701729385409,mid_center,mid_left,center,-311.8542335284167,164.11672968379764,152.2439164248918,cross_court_left,deep,-0.002480462313663837,2.685043393974581,-119.76585637116747,0.9753490628154844,0,False,False,212.37017293854092,lob,very_high,cross_court_left_deep,backhand,topspin,0.7998990542336837,lob,cross_court_left_deep,backhand
122,894,906,13,7.758155395196747,13.863908237047175,0.200201593625498,242.17911852626412,252.0,67.2719773684067,70.0,535.8307564871651,572.8787737165176,789.7468647564109,401.42353948266947,mid_left,mid_center,left,253.9161082692458,-171.4552342338481,-34.028938514979416,cross_court_right,short,1.7295154962463403e-05,-0.6965333052471202,940.8528337924048,0.9999850305597315,0,False,False,1.4235394826694687,lob,very_high,cross_court_right_short,backhand,flat,0.7786098058956676,lob,cross_court_right_short,backhand
124,913,964,52,4.671503470814902,17.685658959837774,0.8508567729083665,74.44339546560961,134.8098629013228,20.678720962669335,37.44718413925633,878.343241664341,356.5829367501393,1235.2202886192008,253.34271004512996,back_center,back_center,center,356.8770469548598,-103.24022670500935,-16.134518903599677,cross_court_right,unknown,0.001035555142137641,-2.441227482093832,1703.6651591103034,0.9683429844224123,3,False,False,146.65728995487004,lob,very_high,cross_court_right,forehand,slice,0.8763396734192397,lob,cross_court_right,forehand
129,967,977,11,0.9979909180025782,1.6134438272399065,0.16683466135458166,30.487615037422795,46.10445571069695,8.468781954839665,12.806793252971376,1241.1358433314722,231.24354531424382,1251.6516963638603,209.18794602638684,back_center,back_center,center,10.515853032388122,-22.055599287856978,-64.50873717840328,straight,unknown,0.1318131568220213,-330.2659840553532,207089.93178450587,0.739868843134597,7,False,False,190.81205397361316,drop_shot,very_low,straight,forehand,slice,0.6663773999619099,drop_shot,straight,forehand
132,982,1017,36,6.853852539691539,16.095949578528824,0.5839213147410358,98.55075799549859,109.73146697779954,27.375210554305163,30.480963049388762,1171.730636160714,230.82498212541844,853.8626480903356,382.29512325260146,back_center,mid_center,center,-317.8679880703785,151.470141127183,154.52131238843538,cross_court_left,deep,0.0009148414975773588,-2.337528581900293,1712.7046832629042,0.9997840004556693,0,False,True,17.704876747398544,lob,very_high,cross_court_left_deep,forehand,flat,0.8459071530019517,lob,cross_court_left_deep,forehand
