track_id,frame_start,frame_end,num_frames,apex_height_meters,total_distance_meters,duration_seconds,avg_speed_kmh,max_speed_kmh,avg_speed_mps,max_speed_mps,start_x,start_y,end_x,end_y,start_zone,end_zone,court_side,displacement_x,displacement_y,displacement_angle_deg,horizontal_direction,vertical_direction,poly_coef_a,poly_coef_b,poly_coef_c,trajectory_r2,num_bounces,crosses_net,in_service_box,net_clearance_pixels,shot_type,height_class,direction,stroke,spin,confidence,type_label,direction_label,stroke_label
5,15,32,18,8.006873597702103,8.091731286741727,0.28373809523809523,103.1458916150312,116.41349351490767,28.65163655973089,32.3370815319188,798.4595607212611,602.9605198451447,773.1956150758476,426.00861333592826,mid_center,mid_center,center,-25.263945645413514,-176.95190650921649,-98.12537486350931,straight,short,0.031880295777740236,-43.07753882028612,14674.755006569812,0.999062779726889,0,False,False,15.00861333592826,lob,very_high,down_the_line_short,backhand,slice,0.7,Lob,Lob,Backhand
7,77,107,31,5.891728747514021,15.598955432178293,0.5007142857142857,112.49308281943249,162.28685018003,31.248078560953466,45.07968060556389,974.8031563895087,366.8548043387276,1223.9422475378337,237.27461743005813,mid_center,back_center,center,249.13909114832506,-129.58018690866948,-27.479474683432418,unknown,short,-0.004127994091667722,8.833137254597155,-4350.796551916564,0.6571879081282532,2,False,False,173.72538256994187,lob,high,cross_court_short,forehand,topspin,0.85,Lob,Lob,Forehand
19,178,186,9,2.243015940993296,5.142820039693938,0.13352380952380952,137.91523896782732,138.9781431624893,38.30978860217426,38.605039767358136,488.2335720795568,711.6934287784961,386.1642896106272,761.264081074448,mid_left,front_left,left,-102.0692824689296,49.570652295951845,154.09615194913255,straight,unknown,-0.000536575860967809,-0.001973662056447697,841.4780325568117,0.9979803458852751,0,False,False,350.264081074448,down_the_line_groundstroke,medium_low,down_the_line,backhand,flat,0.5,Down The Line Groundstroke,Down the Line,Backhand
21,186,197,12,10.672867561442795,13.523219892516222,0.1835952380952381,250.8634649398496,252.0,69.68429581662488,70.0,523.6125514439171,610.3000122070314,707.1027151101921,374.4296390991456,mid_left,mid_center,left,183.49016366627495,-235.87037310788577,-52.11965445131431,straight,unknown,0.00020203755686980934,-1.5283861664598917,1354.5292604754766,0.9999590464164784,0,True,False,36.57036090085438,high_lob,extremely_high,down_the_line,backhand,flat,0.7,High Lob,Lob,Backhand
25,200,233,34,5.136633795927475,16.550231338980268,0.5507857142857143,89.60252912177533,134.5412226613267,24.88959142271537,37.372561850368534,724.2185634068077,362.8997039794921,942.7832872435646,261.4995858380141,mid_center,back_center,center,218.5647238367569,-101.40011814147795,-24.888298791253618,straight,short,0.0037179307418620778,-6.686746238433404,3261.39004975039,0.9942852948376351,8,False,False,149.50041416198587,lob,high,down_the_line_short,backhand,slice,0.85,Lob,Lob,Backhand
31,255,278,24,6.555291761830055,7.206892401797792,0.3838809523809524,51.00992212739452,199.17864717615439,14.169422813165143,55.32740199337622,962.9784406389504,269.7400896344865,924.2542855037393,132.90803157457964,back_center,back_center,center,-38.72415513521105,-136.83205805990684,-105.80177773843761,straight,short,-0.0005435814394121265,4.570606599812027,-3627.1821558044494,0.999933906631619,13,False,False,278.09196842542036,lob,very_high,down_the_line_short,backhand,flat,0.85,Lob,Lob,Backhand
15,124,301,178,10.806590446546057,41.650759958065414,2.9542142857142855,46.43692799671535,141.7843481626426,12.899146665754262,39.38454115628961,1179.9744506835932,191.338112095424,769.4690696294741,407.6388490291031,back_center,mid_center,center,-410.5053810541191,216.30073693367908,152.21465826164712,unknown,deep,0.0009547876105635635,-2.1544683840010985,1436.8238981403515,0.2822370254226295,59,False,True,3.361150970896915,high_lob,extremely_high,cross_court_deep,forehand,flat,0.95,High Lob,Lob,Forehand
39,304,319,16,9.89110696811999,11.57225357112356,0.25035714285714283,161.83123840251673,214.0425063976811,44.95312177847687,59.45625177713364,749.1843000139509,465.8138715471539,639.2172697554525,684.4073355426057,mid_center,mid_left,center,-109.96703025849831,218.59346399545177,116.70543281529147,straight,deep,-0.011900130231499323,14.550901787190702,-3760.227900019476,0.9906115923916181,2,False,False,273.40733554260567,lob,very_high,down_the_line_deep,backhand,topspin,0.7,Lob,Lob,Backhand
43,339,354,16,10.36058509806547,10.684221887211528,0.25035714285714283,152.5828058409521,171.63513042583654,42.3841127335978,47.67642511828792,525.3933602469306,631.7591535295758,582.1996271933704,402.79022286232885,mid_left,mid_left,left,56.80626694643979,-228.96893066724692,-76.06647856987543,straight,unknown,-0.0015899390526855483,-2.312957504735163,2286.603924983785,0.9979617874524889,0,True,True,8.209777137671153,high_lob,extremely_high,down_the_line,backhand,topspin,0.7,High Lob,Lob,Backhand
47,360,418,59,4.787187057434098,9.719776863460375,0.968047619047619,36.18815058922563,70.03382065680815,10.052264052562673,19.453839071335594,594.8132873535155,364.78997759137826,671.5394030030549,386.622453040164,mid_left,mid_center,left,76.72611564953934,21.832475448785715,15.883743834132838,straight,unknown,0.0650730649096604,-82.59491392617322,26487.76315882328,0.9298280583035187,0,False,True,24.377546959836025,lob,high,down_the_line,backhand,slice,0.95,Lob,Lob,Backhand
