track_id,frame_start,frame_end,num_frames,apex_height_meters,total_distance_meters,duration_seconds,avg_speed_kmh,max_speed_kmh,avg_speed_mps,max_speed_mps,start_x,start_y,end_x,end_y,start_zone,end_zone,court_side,displacement_x,displacement_y,displacement_angle_deg,horizontal_direction,vertical_direction,poly_coef_a,poly_coef_b,poly_coef_c,trajectory_r2,num_bounces,crosses_net,in_service_box,net_clearance_pixels,shot_type,height_class,direction,stroke,spin,confidence
0,47,57,10,4.107999608672786,5.606374186723684,0.41707416462917685,47.65170002980166,109.10695971581676,13.236583341611572,30.3074888099491,512.2068481445312,172.39676666259766,435.90702342291866,377.79674709623697,mid_center,front_center,center,-76.2998247216126,205.3999804336393,110.3784951117627,straight,deep,-0.01624061957825174,12.714852975348858,-2081.378555331645,0.9850703655373472,4,False,False,221.79674709623697,lob,high,down_the_line_deep,forehand,topspin,0.7
0,47,58,11,4.454145946045482,5.980570812213147,0.4587815810920945,46.256000043279386,109.10695971581676,12.848888900910941,30.3074888099491,512.2068481445312,172.39676666259766,428.7996632148019,395.1040639648718,mid_center,front_center,center,-83.40718492972934,222.70729730227413,110.5316701655096,straight,deep,-0.01361954280903357,10.19745840654275,-1478.2370839692073,0.9863434271707833,4,False,False,239.10406396487178,lob,high,down_the_line_deep,forehand,topspin,0.7
2,62,71,10,2.4924813896657323,2.5646939914255222,0.37536674816625915,24.82779806299187,33.40869353617303,6.896610573053297,9.280192648936954,443.65460205078125,270.89801025390625,473.39418756178543,146.27394077061965,mid_center,back_center,center,29.73958551100418,-124.6240694832866,-76.57827335134023,straight,short,-0.007386284993472418,2.4707877347030336,630.0400319901407,0.9972747674709735,0,True,True,9.726059229380354,down_the_line_groundstroke,medium_low,down_the_line_short,forehand,topspin,0.7
2,62,72,11,2.7244835838614985,2.803313268373561,0.41707416462917685,24.44314025646572,33.40869353617303,6.789761182351589,9.280192648936954,443.65460205078125,270.89801025390625,476.1844121134813,134.67383106083133,mid_center,back_center,center,32.52981006270005,-136.22417919307492,-76.56950321493504,straight,short,-0.002705045553994753,-1.7986969230912588,1603.1818572403163,0.9976305635310011,0,True,True,21.326168939168667,groundstroke,medium_high,down_the_line_short,forehand,topspin,0.7
2,62,73,12,2.956485778057265,3.0419325453215995,0.4587815810920945,24.1225920843606,33.40869353617303,6.7007200234335,9.280192648936954,443.65460205078125,270.89801025390625,478.9746366651772,123.073721351043,mid_center,back_center,center,35.32003461439592,-147.82428890286326,-76.56211000185901,straight,short,-0.000129606964799433,-4.153369328504796,2141.1731701815434,0.9980127536309138,0,True,True,32.926278648956995,groundstroke,medium_high,down_the_line_short,forehand,flat,0.7
2,62,74,13,3.1884879722530317,3.2805518222696377,0.5004889975550122,23.85135901565626,33.40869353617303,6.625377504348961,9.280192648936954,443.65460205078125,270.89801025390625,481.76486121687304,111.47361164125468,mid_center,back_center,center,38.110259166091794,-159.42439861265157,-76.55579304652822,straight,short,0.001263786574401257,-5.430482390241123,2433.6750313737375,0.9983516851839237,0,True,True,44.52638835874532,groundstroke,medium_high,down_the_line_short,forehand,slice,0.7
4,76,88,10,0.6638546862479313,1.1334483018199906,0.5004889975550122,9.916631584872407,28.835050641191614,2.7546198846867798,8.009736289219893,478.97080993652344,149.98978424072266,474.67794868734563,136.32166680774554,back_center,back_center,center,-4.292861249177804,-13.668117432977112,-107.43638038692747,straight,unknown,-4.820292559812815,4602.78469282347,-1098604.2441738825,0.7216916294280491,2,False,True,19.678333192254456,low_shot,extremely_low,straight,backhand,topspin,0.7
4,76,89,11,0.8122522106964811,1.2823727788487997,0.5421964140179298,9.956408826325653,28.835050641191614,2.7656691184237925,8.009736289219893,478.97080993652344,149.98978424072266,474.0521000717717,128.90179058531805,back_center,back_center,center,-4.918709864751747,-21.087993655404603,-103.12932750177121,straight,unknown,-3.0150872612073227,2880.4049809476337,-687770.1793197185,0.8029149013728829,2,False,True,27.098209414681946,low_shot,extremely_low,straight,backhand,topspin,0.7
4,76,90,12,0.9420304041670631,1.4130026670919318,0.5839038304808476,10.000414757083584,28.835050641191614,2.7778929880787735,8.009736289219893,478.97080993652344,149.98978424072266,473.3074723091858,122.41288091178896,back_center,back_center,center,-5.663337627337626,-27.576903328933696,-101.60520802655377,straight,unknown,-1.7604147803950376,1683.9395023124305,-402534.6440052846,0.8495172745398981,2,False,True,33.58711908821104,low_shot,extremely_low,straight,backhand,topspin,0.7
4,76,91,13,1.0718085976376448,1.5436325553350645,0.6256112469437652,10.09849016522881,28.835050641191614,2.8051361570080027,8.009736289219893,478.97080993652344,149.98978424072266,472.56284454659993,115.92397123825987,back_center,back_center,center,-6.407965389923504,-34.06581300246279,-100.65316368181652,straight,unknown,-1.1052643096502055,1059.4696136936748,-253730.81669619252,0.8845192341672519,2,False,True,40.07602876174013,low_shot,extremely_low,straight,backhand,topspin,0.7
4,76,92,14,1.2015867911082267,1.6742624435781968,0.6673186634066829,10.182554800781853,28.835050641191614,2.8284874446616257,8.009736289219893,478.97080993652344,149.98978424072266,471.81821678401406,109.43506156473077,back_center,back_center,center,-7.152593152509382,-40.55472267599188,-100.0023311732843,straight,unknown,-0.7521367700849725,723.0302610004007,-173597.60222534806,0.9103291701387233,2,False,True,46.56493843526923,drop_shot,very_low,straight,backhand,topspin,0.7
4,76,93,15,1.3313649845788087,1.804892331821329,0.7090260798696006,10.255410818261158,28.835050641191614,2.848725227294766,8.009736289219893,478.97080993652344,149.98978424072266,471.0735890214282,102.94615189120168,back_center,back_center,center,-7.897220915095261,-47.043632349520976,-99.52939913279096,straight,unknown,-0.5456189940439173,526.3619288671356,-126776.64334744241,0.9292258275864221,2,False,False,53.05384810879832,drop_shot,very_low,straight,backhand,topspin,0.7
5,99,108,10,2.87855607805918,3.194299332189551,0.37536674816625915,30.80922292267246,39.31405643019002,8.558117478520128,10.920571230608338,533.3897705078125,150.76455688476562,600.6400207841336,294.6923607877246,back_center,mid_right,center,67.25025027632114,143.927803902959,64.955672402785,straight,deep,0.014452458856412878,-14.28326113713447,3658.481103512039,0.999494959532753,0,True,False,138.69236078772462,groundstroke,medium_high,down_the_line_deep,forehand,slice,0.7
5,99,109,11,3.2276347984969096,3.563315112044051,0.41707416462917685,30.564602699741567,38.09155054820554,8.490167416594879,10.580986263390427,533.3897705078125,150.76455688476562,606.6226399261111,312.1462968096111,back_center,mid_right,center,73.2328694182986,161.38173992484548,65.59209010353577,straight,deep,0.014402472615739556,-14.227168404942248,3642.7626895829553,0.9996418643358308,0,True,False,156.1462968096111,groundstroke,medium_high,down_the_line_deep,forehand,slice,0.7
5,99,110,12,3.3624352169343807,3.729495458828439,0.4587815810920945,28.465572144399648,38.09155054820554,7.907103373444347,10.580986263390427,533.3897705078125,150.76455688476562,611.4818463547531,318.88631773148467,back_center,mid_right,center,78.09207584694059,168.12176084671904,65.08526674034516,straight,deep,0.012069737452997973,-11.598923304911677,2903.4295214938934,0.9984779586039519,0,True,False,162.88631773148467,groundstroke,medium_high,down_the_line_deep,forehand,slice,0.7
5,99,111,13,3.655954245126552,4.047885875160379,0.5004889975550122,28.88592129900459,38.09155054820554,8.023867027501275,10.580986263390427,533.3897705078125,150.76455688476562,617.650119472318,333.5622691410932,back_center,front_right,center,84.26034896450551,182.7977122563276,65.25272740233416,straight,deep,0.009872126656799578,-9.110827817377343,2200.255308238908,0.9975944851176728,0,True,False,177.56226914109322,groundstroke,medium_high,down_the_line_deep,forehand,slice,0.7
5,99,112,14,3.655954245126552,4.352600446528927,0.5421964140179298,27.321539390467784,38.09155054820554,7.589316497352162,10.580986263390427,533.3897705078125,150.76455688476562,620.9392098570463,318.68580082862456,back_center,mid_right,center,87.54943934923381,167.92124394385894,62.46372390831344,straight,deep,0.004732554613892621,-3.275779538924418,546.8271602779121,0.9871139077983657,2,True,False,162.68580082862456,groundstroke,medium_high,down_the_line_deep,forehand,slice,0.7
5,99,113,15,3.655954245126552,4.494575776017291,0.5839038304808476,25.830306535967047,38.09155054820554,7.175085148879735,10.580986263390427,533.3897705078125,150.76455688476562,624.848110457557,312.7601800549292,back_center,mid_right,center,91.45833994974453,161.99562317016358,60.552104346937206,straight,deep,-0.0003365834266593312,2.4995064844141335,-1095.128737330768,0.9744835847805218,3,True,False,156.7601800549292,groundstroke,medium_high,down_the_line_deep,forehand,flat,0.7
5,99,114,16,3.655954245126552,4.606827692085724,0.6256112469437652,24.734889456773512,38.09155054820554,6.870802626881531,10.580986263390427,533.3897705078125,150.76455688476562,629.0973448503796,309.0934050785446,back_center,mid_right,center,95.70757434256711,158.32884819377898,58.847625047036026,straight,deep,-0.00488392117844639,7.6994071014664485,-2578.667731273474,0.962710270831033,3,True,False,153.0934050785446,groundstroke,medium_high,down_the_line_deep,forehand,topspin,0.7
5,99,115,17,3.655954245126552,4.753227838212127,0.6673186634066829,24.062069830591888,38.09155054820554,6.683908286275524,10.580986263390427,533.3897705078125,150.76455688476562,636.4026373151609,309.5573112852171,back_center,mid_right,center,103.01286680734836,158.79275440045149,57.0275076589142,straight,deep,-0.009176933075982949,12.634242624297565,-3993.570708517257,0.9536530894922455,5,True,False,153.5573112852171,groundstroke,medium_high,down_the_line_deep,forehand,topspin,0.7
